Opposition,Span,Mat,Won,Lost,Tied,Tie+W,Tie+L,NR,%,ABR
v Afghanistan,2013-2013,1,1,0,0,0,0,0,100,AFG
v Australia,2007-2016,14,7,6,0,1,0,0,53.57,AUS
v Bangladesh,2007-2016,10,8,2,0,0,0,0,80,BAN
v Canada,2008-2008,1,1,0,0,0,0,0,100,CAN
v England,2006-2016,14,4,9,0,0,1,0,32.14,ENG
v India,2007-2016,8,1,6,0,0,1,0,18.75,IND
v Ireland,2009-2009,1,1,0,0,0,0,0,100,IRE
v Kenya,2007-2007,1,1,0,0,0,0,0,100,KEN
v Netherlands,2009-2009,1,1,0,0,0,0,0,100,NED
v New Zealand,2007-2018,18,10,8,0,0,0,0,55.55,NZ
v Scotland,2007-2007,1,1,0,0,0,0,0,100,SCO
v South Africa,2007-2013,11,5,6,0,0,0,0,45.45,SAF
v Sri Lanka,2007-2017,18,13,5,0,0,0,0,72.22,SRL
v United Arab Emirates,2016-2016,1,1,0,0,0,0,0,100,UAE
v West Indies,2011-2017,11,8,3,0,0,0,0,72.72,WIN
v World-XI,2017-2017,3,2,1,0,0,0,0,66.66,WXI
v Zimbabwe,2008-2015,9,9,0,0,0,0,0,100,ZIM
